AIIV690724MSPYJZ70,PRI
JDVL1041005MOCXNV42,MC
EWRF980818MYNXLJ34,MORENA
HGAN840309HMSQNJ83,PT
FCHS800905MCHXLC43,PRI
COAB670325HGRJFH67,MC
OOST890904MGTSNI95,PT
MXBL731013MJCGKI56,PT
QMIP741202HBSQRK44,VERDE
QZUA700910HBCPXC76,MC
VUXU970515MNTBVU86,MC
BKET780213HHGEQZ94,PRI
ORNX701222HZSYRT07,PRD
AGAV1010809HMNGOT24,PAN
MWGX690724MCSRRK99,PRI
BKVG751017MPLOQM00,MORENA
ULFG1011208HPLOMH63,MC
DFVS880909MGRWDS94,VERDE
VVMA1040811MBSTLB52,PAN
AFWX921217HSRZQR07,PT
HXOI850919MSPGDI36,VERDE
ZLZG700510MCHGMI90,PT
KXMT1020110MNTTSD05,PRD
BNKG870816MJCAWK37,MORENA
MGNN730503HCMWOK87,VERDE
ZFQD1000416MGTYXA27,MORENA
PSVW920906HTCQSO14,PAN
MPDO991123HZSUPJ11,MC
ZLXS931022MHGTMP46,VERDE
DREQ1040226MCLSJA88,MC
PMAU750627HBSSSM23,PAN
BDLX830507HSLXDU36,VERDE
CUCY730505MMSCAO28,PRD
SXMD791221HDFTZF59,PAN
NJKG1020510MVZSNE33,VERDE
PRTK791121MCHQJU37,MC
EGTB910114HCHNTL94,PT
NONV750612MTLUWM61,MC
KBSY800728MVZMQQ01,PRI
NMYP700908MBSCGX26,MORENA
EJMU910613HASRHQ01,MC
OWIF970408HYNMSK24,MORENA
LYBU880616MMNAIV48,PRD
NCKO1040920HSRGOM09,MC
VOZS891001HNLQLC80,PAN
HDQA911110HBCNRT96,VERDE
CQJR880323HCSEGL92,PRD
MYKD820915HSPTWA92,VERDE
FVWO661025MCCVTW05,MC
NLVD670114HCCMIY79,PRI
HVVK880821MHGHUX37,PRI
FHAQ991209MVZYMG23,MC
NWGE890307HGRFWX54,MC
GGAO940914MCMRZS08,VERDE
EHAU810111HPLFGW58,MC
RMWR931014HDFSHP81,VERDE
UBRH970123MTCRCA87,MC
IILF870322MJCSET46,MORENA
GDDB761206MTLOFK01,PAN
AWAY750925HNLTRB16,PRD
GDME760621HTSGAC70,PRI
KPYD940716MGTFSS54,MORENA
QDHP780122MQTVAP63,PRI
DZSL1011119HJCKNJ73,PRD
ZANY1020326HNLLHR36,MORENA
DXBY1040515HHGCCB41,PAN
VPHZ720408MZSLMF15,PT
XEXA870608HTLQQY77,PRD
